team,name,result,points
High Jumpers,288,17.5,300.0
High Jumpers,291,15.0,253.0
High Jumpers,294,14.5,244.0
High Jumpers,289,13.5,226.0
High Jumpers,271,13.0,216.0
High Jumpers,295,11.5,189.0
,SUM,,1428.0
PowerKids,116,16.5,281.0
PowerKids,117,13.5,226.0
PowerKids,121,13.5,226.0
PowerKids,122,13.5,226.0
PowerKids,115,12.0,198.0
PowerKids,118,10.0,162.0
,SUM,,1319.0
Putzbrunner Panthers,259,17.5,300.0
Putzbrunner Panthers,249,15.5,263.0
Putzbrunner Panthers,253,13.0,216.0
Putzbrunner Panthers,257,11.0,180.0
Putzbrunner Panthers,251,10.0,162.0
Putzbrunner Panthers,254,10.0,162.0
,SUM,,1283.0
Chilli Willi,136,15.0,253.0
Chilli Willi,138,14.5,244.0
Chilli Willi,140,14.0,235.0
Chilli Willi,135,11.5,189.0
Chilli Willi,133,11.0,180.0
Chilli Willi,139,11.0,180.0
,SUM,,1281.0
Bunte Hunde,197,14.5,244.0
Bunte Hunde,194,14.0,235.0
Bunte Hunde,196,14.0,235.0
Bunte Hunde,193,11.5,189.0
Bunte Hunde,195,10.5,171.0
Bunte Hunde,192,9.5,153.0
,SUM,,1227.0
Giraffen,214,16.0,272.0
Giraffen,215,15.0,253.0
Giraffen,209,12.5,207.0
Giraffen,216,10.5,171.0
Giraffen,210,9.0,144.0
Giraffen,212,7.0,109.0
,SUM,,1156.0
Fledermause,217,13.5,226.0
Fledermause,219,12.0,198.0
Fledermause,220,11.0,180.0
Fledermause,221,10.0,162.0
Fledermause,222,9.5,153.0
Fledermause,218,8.0,127.0
,SUM,,1046.0
Long Jumpers,281,15.0,253.0
Long Jumpers,284,10.5,171.0
Long Jumpers,273,10.5,171.0
Long Jumpers,279,9.0,144.0
Long Jumpers,283,9.0,144.0
Long Jumpers,280,8.5,135.0
,SUM,,1018.0
Gazelle Haidhausen,204,15.0,253.0
Gazelle Haidhausen,199,11.5,189.0
Gazelle Haidhausen,200,10.0,162.0
Gazelle Haidhausen,203,9.5,153.0
Gazelle Haidhausen,202,9.0,144.0
Gazelle Haidhausen,201,7.0,109.0
,SUM,,1010.0
Manzoschule,171,16.0,272.0
Manzoschule,173,14.5,244.0
Manzoschule,174,12.0,198.0
Manzoschule,177,9.0,144.0
Manzoschule,175,6.0,92.0
Manzoschule,176,3.0,43.0
,SUM,,993.0
