team,name,result,points
chilli willi,164,7.0,129.0
chilli willi,161,6.0,111.0
chilli willi,163,6.0,111.0
chilli willi,168,5.0,92.0
chilli willi,162,4.0,74.0
chilli willi,166,4.0,74.0
,SUM,,591.0
junioeproffesur,250,6.0,111.0
junioeproffesur,253,5.0,92.0
junioeproffesur,256,5.0,92.0
junioeproffesur,252,4.0,74.0
junioeproffesur,255,4.0,74.0
junioeproffesur,251,3.0,55.0
,SUM,,498.0
tsv ost wilde pferde,268,5.0,92.0
tsv ost wilde pferde,267,5.0,92.0
tsv ost wilde pferde,270,4.0,74.0
tsv ost wilde pferde,266,3.0,55.0
tsv ost wilde pferde,264,3.0,55.0
tsv ost wilde pferde,265,2.0,37.0
,SUM,,405.0
startblock stipendiaten,259,5.0,92.0
startblock stipendiaten,260,4.0,74.0
startblock stipendiaten,262,3.0,55.0
startblock stipendiaten,257,2.0,37.0
startblock stipendiaten,258,2.0,37.0
startblock stipendiaten,261,2.0,37.0
,SUM,,332.0
