team,name,result,points
Health Science,508,6.85,1031.0
Health Science,507,7.23,918.0
Health Science,505,7.54,831.0
Health Science,509,7.61,812.0
Health Science,501,7.69,790.0
Health Science,506,7.73,779.0
,SUM,,5161.0
Bunte Hunde,446,7.35,884.0
Bunte Hunde,452,7.55,828.0
Bunte Hunde,450,7.56,825.0
Bunte Hunde,451,7.66,798.0
Bunte Hunde,444,7.75,774.0
Bunte Hunde,445,7.92,729.0
,SUM,,4838.0
Panther,464,7.49,845.0
Panther,463,7.63,806.0
Panther,456,7.69,790.0
Panther,459,7.74,777.0
Panther,562,7.79,763.0
Panther,457,7.81,758.0
,SUM,,4739.0
Horizontale Sprunge,513,7.44,859.0
Horizontale Sprunge,515,7.5,842.0
Horizontale Sprunge,511,7.58,820.0
Horizontale Sprunge,517,7.85,747.0
Horizontale Sprunge,514,8.04,698.0
Horizontale Sprunge,518,8.13,675.0
,SUM,,4641.0
Turbo Tiger,476,7.43,861.0
Turbo Tiger,478,7.61,812.0
Turbo Tiger,474,7.91,732.0
Turbo Tiger,477,7.98,714.0
Turbo Tiger,473,8.17,665.0
Turbo Tiger,475,8.25,646.0
,SUM,,4430.0
Mini Adler,482,7.67,795.0
Mini Adler,480,7.91,732.0
Mini Adler,479,8.1,683.0
Mini Adler,484,8.1,683.0
Mini Adler,485,8.1,683.0
Mini Adler,481,8.17,665.0
,SUM,,4241.0
