team,name,result,points
Quantenspringer,151,30.5,406.0
Quantenspringer,150,28.0,370.0
Quantenspringer,156,26.5,349.0
Quantenspringer,155,26.0,342.0
Quantenspringer,154,24.5,320.0
Quantenspringer,152,23.5,306.0
,SUM,,2093.0
Adler,225,24.0,313.0
Adler,228,22.5,292.0
Adler,226,21.5,278.0
Adler,231,19.5,250.0
Adler,230,18.0,230.0
Adler,227,17.0,216.0
,SUM,,1579.0
Teilchenbeschleuniger,143,30.0,399.0
Teilchenbeschleuniger,147,22.0,285.0
Teilchenbeschleuniger,144,21.5,278.0
Teilchenbeschleuniger,149,19.0,243.0
Teilchenbeschleuniger,146,13.5,168.0
Teilchenbeschleuniger,142,12.5,155.0
,SUM,,1528.0
Putzbrunner Panther,262,23.0,299.0
Putzbrunner Panther,268,22.5,292.0
Putzbrunner Panther,263,21.0,271.0
Putzbrunner Panther,267,18.0,230.0
Putzbrunner Panther,266,15.5,195.0
Putzbrunner Panther,260,14.5,182.0
,SUM,,1469.0
Wolfe,237,25.0,327.0
Wolfe,236,17.5,223.0
Wolfe,241,17.0,216.0
Wolfe,234,13.0,161.0
Wolfe,235,12.5,155.0
Wolfe,242,10.5,128.0
,SUM,,1210.0
Manzoschule,160,20.5,264.0
Manzoschule,169,18.0,230.0
Manzoschule,166,17.5,223.0
Manzoschule,164,15.5,195.0
Manzoschule,167,13.0,161.0
Manzoschule,168,10.0,121.0
,SUM,,1194.0
Jahn Speedies,102,27.0,356.0
Jahn Speedies,104,13.5,168.0
Jahn Speedies,106,13.5,168.0
Jahn Speedies,107,13.5,168.0
Jahn Speedies,103,12.5,155.0
Jahn Speedies,111,12.0,148.0
,SUM,,1163.0
Kangurus,188,22.5,292.0
Kangurus,185,16.5,209.0
Kangurus,186,13.0,161.0
Kangurus,178,12.0,148.0
Kangurus,180,12.0,148.0
Kangurus,182,12.0,148.0
,SUM,,1106.0
