team,name,result,points
Teilchenbeschleuniger,332,9.34,566.0
Teilchenbeschleuniger,326,9.99,488.0
Teilchenbeschleuniger,323,11.11,365.0
Teilchenbeschleuniger,329,11.41,334.0
Teilchenbeschleuniger,331,11.75,301.0
Teilchenbeschleuniger,330,11.93,284.0
,SUM,,2338.0
Quantenspringer,341,10.68,411.0
Quantenspringer,338,10.75,403.0
Quantenspringer,336,10.92,385.0
Quantenspringer,337,10.95,382.0
Quantenspringer,339,11.43,332.0
Quantenspringer,340,11.54,322.0
,SUM,,2235.0
Springende Kangurus,360,11.01,375.0
Springende Kangurus,353,11.06,370.0
Springende Kangurus,355,11.18,358.0
Springende Kangurus,362,11.69,307.0
Springende Kangurus,358,11.97,280.0
Springende Kangurus,359,12.71,215.0
,SUM,,1905.0
Manzoschule,432,10.66,413.0
Manzoschule,431,11.05,371.0
Manzoschule,429,11.25,351.0
Manzoschule,435,12.07,271.0
Manzoschule,434,13.5,152.0
Manzoschule,433,13.66,141.0
,SUM,,1699.0
Adler,389,11.3,346.0
Adler,385,11.84,293.0
Adler,393,11.98,279.0
Adler,400,12.11,267.0
Adler,391,12.34,247.0
Adler,390,12.53,230.0
,SUM,,1662.0
Speedies,443,11.45,330.0
Speedies,446,12.2,259.0
Speedies,445,12.41,240.0
Speedies,287,12.82,205.0
Speedies,447,12.94,196.0
Speedies,444,13.29,168.0
,SUM,,1398.0
Turbokids,475,12.02,276.0
Turbokids,479,12.12,266.0
Turbokids,477,12.29,251.0
Turbokids,478,12.45,237.0
Turbokids,480,12.79,208.0
Turbokids,476,14.13,109.0
,SUM,,1347.0
TSV Grunwald,302,10.86,391.0
TSV Grunwald,301,12.6,224.0
TSV Grunwald,298,13.12,181.0
TSV Grunwald,300,13.22,173.0
TSV Grunwald,303,13.45,156.0
TSV Grunwald,305,14.66,77.0
,SUM,,1202.0
