team,name,result,points
Jahn Junior,591,6.1,978.0
Jahn Junior,590,6.26,934.0
Jahn Junior,597,6.39,899.0
Jahn Junior,594,6.51,868.0
Jahn Junior,588,6.69,821.0
Jahn Junior,595,6.74,808.0
,SUM,,5308.0
Hurdenhopser,696,6.21,948.0
Hurdenhopser,695,6.55,857.0
Hurdenhopser,698,6.96,753.0
Hurdenhopser,692,7.31,669.0
Hurdenhopser,693,7.31,669.0
Hurdenhopser,694,8.79,364.0
,SUM,,4260.0
Hohenflieger,699,6.66,829.0
Hohenflieger,704,6.7,818.0
Hohenflieger,700,7.14,710.0
Hohenflieger,702,7.67,588.0
Hohenflieger,701,7.81,557.0
Hohenflieger,703,8.06,504.0
,SUM,,4006.0
