team,name,result,points
turbo tiger,367,8.47,573.0
turbo tiger,364,8.57,561.0
turbo tiger,366,8.83,529.0
turbo tiger,362,9.04,503.0
turbo tiger,361,9.25,479.0
turbo tiger,365,9.55,444.0
,SUM,,3089.0
seminargruppe,314,8.82,530.0
seminargruppe,314,8.82,530.0
seminargruppe,311,8.88,523.0
seminargruppe,311,8.88,523.0
seminargruppe,319,9.18,487.0
seminargruppe,319,9.18,487.0
,SUM,,3080.0
master,308,8.72,542.0
master,303,8.97,512.0
master,307,8.99,509.0
master,301,9.01,507.0
master,305,9.25,479.0
master,304,9.31,472.0
,SUM,,3021.0
renngeisis zwei,179,8.54,565.0
renngeisis zwei,183,8.79,534.0
renngeisis zwei,180,9.04,503.0
renngeisis zwei,178,9.23,481.0
renngeisis zwei,184,9.31,472.0
renngeisis zwei,185,9.42,459.0
,SUM,,3014.0
rennsemmeln,359,8.96,513.0
rennsemmeln,358,9.42,459.0
rennsemmeln,352,9.63,435.0
rennsemmeln,355,9.65,433.0
rennsemmeln,357,9.75,422.0
rennsemmeln,350,9.8,416.0
,SUM,,2678.0
jahn speedies junior zwei,394,8.96,513.0
jahn speedies junior zwei,346,9.21,483.0
jahn speedies junior zwei,345,9.36,466.0
jahn speedies junior zwei,344,9.55,444.0
jahn speedies junior zwei,340,9.77,419.0
jahn speedies junior zwei,348,10.61,330.0
,SUM,,2655.0
jahn speedies junior eins,335,9.51,449.0
jahn speedies junior eins,337,9.52,447.0
jahn speedies junior eins,331,9.58,441.0
jahn speedies junior eins,339,9.63,435.0
jahn speedies junior eins,336,9.66,432.0
jahn speedies junior eins,333,9.78,418.0
,SUM,,2622.0
bunte hunde,278,9.17,488.0
bunte hunde,282,9.33,469.0
bunte hunde,279,9.59,439.0
bunte hunde,283,10.01,393.0
bunte hunde,280,10.1,383.0
bunte hunde,281,10.43,348.0
,SUM,,2520.0
psv panther,395,8.86,525.0
psv panther,231,9.44,457.0
psv panther,229,9.96,398.0
psv panther,230,10.06,388.0
psv panther,226,10.22,370.0
psv panther,227,10.49,342.0
,SUM,,2480.0
mini adler,379,9.45,455.0
mini adler,377,9.87,408.0
mini adler,371,9.98,396.0
mini adler,375,10.04,390.0
mini adler,378,10.29,363.0
mini adler,372,10.4,352.0
,SUM,,2364.0
grunwald,232,9.85,410.0
grunwald,236,9.85,410.0
grunwald,244,9.88,407.0
grunwald,249,10.04,390.0
grunwald,245,10.11,382.0
grunwald,247,10.4,352.0
,SUM,,2351.0
hase  und igel,275,9.11,495.0
hase  und igel,396,10.09,384.0
hase  und igel,273,10.2,373.0
hase  und igel,277,10.42,349.0
hase  und igel,272,10.49,342.0
hase  und igel,271,10.62,329.0
,SUM,,2272.0
psv leoparden,381,9.62,436.0
psv leoparden,383,9.71,426.0
psv leoparden,382,10.01,393.0
psv leoparden,385,10.62,329.0
psv leoparden,386,10.93,298.0
psv leoparden,392,11.54,241.0
,SUM,,2123.0
