team,name,result,points
master of health science,304,10.0,185.0
master of health science,307,10.0,185.0
master of health science,306,8.0,148.0
master of health science,300,7.0,129.0
master of health science,301,7.0,129.0
master of health science,309,7.0,129.0
,SUM,,905.0
renngeisis zwei,179,10.0,185.0
renngeisis zwei,178,9.0,166.0
renngeisis zwei,180,9.0,166.0
renngeisis zwei,182,8.0,148.0
renngeisis zwei,183,7.0,129.0
renngeisis zwei,181,5.0,92.0
,SUM,,886.0
turbo tiger,367,9.0,166.0
turbo tiger,366,8.0,148.0
turbo tiger,369,8.0,148.0
turbo tiger,362,7.0,129.0
turbo tiger,363,7.0,129.0
turbo tiger,364,7.0,129.0
,SUM,,849.0
rennsemmeln,353,8.0,148.0
rennsemmeln,358,8.0,148.0
rennsemmeln,352,7.0,129.0
rennsemmeln,359,7.0,129.0
rennsemmeln,354,6.0,111.0
rennsemmeln,355,6.0,111.0
,SUM,,776.0
jahn eins,333,7.0,129.0
jahn eins,334,7.0,129.0
jahn eins,335,7.0,129.0
jahn eins,337,7.0,129.0
jahn eins,339,7.0,129.0
jahn eins,332,6.0,111.0
,SUM,,756.0
seminargruppe,317,8.0,148.0
seminargruppe,314,7.0,129.0
seminargruppe,310,6.0,111.0
seminargruppe,311,6.0,111.0
seminargruppe,316,6.0,111.0
seminargruppe,319,6.0,111.0
,SUM,,721.0
psv panther,395,8.0,148.0
psv panther,227,7.0,129.0
psv panther,231,7.0,129.0
psv panther,229,6.0,111.0
psv panther,230,6.0,111.0
psv panther,226,5.0,92.0
,SUM,,720.0
bunte hunde,278,8.0,148.0
bunte hunde,284,7.0,129.0
bunte hunde,279,6.0,111.0
bunte hunde,280,6.0,111.0
bunte hunde,282,6.0,111.0
bunte hunde,283,5.0,92.0
,SUM,,702.0
grunwald,249,8.0,148.0
grunwald,244,7.0,129.0
grunwald,245,6.0,111.0
grunwald,246,6.0,111.0
grunwald,232,6.0,111.0
grunwald,247,5.0,92.0
,SUM,,702.0
mini adler,377,7.0,129.0
mini adler,378,7.0,129.0
mini adler,379,7.0,129.0
mini adler,371,6.0,111.0
mini adler,373,6.0,111.0
mini adler,370,5.0,92.0
,SUM,,701.0
jahn speedies junior zwei,346,8.0,148.0
jahn speedies junior zwei,394,7.0,129.0
jahn speedies junior zwei,344,6.0,111.0
jahn speedies junior zwei,347,6.0,111.0
jahn speedies junior zwei,340,5.0,92.0
jahn speedies junior zwei,342,5.0,92.0
,SUM,,683.0
psv leoparden,382,9.0,166.0
psv leoparden,381,7.0,129.0
psv leoparden,383,7.0,129.0
psv leoparden,385,5.0,92.0
psv leoparden,392,5.0,92.0
psv leoparden,384,3.0,55.0
,SUM,,663.0
hase und igel,272,7.0,129.0
hase und igel,275,6.0,111.0
hase und igel,271,5.0,92.0
hase und igel,277,5.0,92.0
hase und igel,396,5.0,92.0
hase und igel,273,4.0,74.0
,SUM,,590.0
